epoch,batch_idx,computetime,computetime_ms,log_time
1,57,null,340.96026611328125,280.3365170955658
_,58,null,341.6842346191406,280.67950677871704
1,58,null,341.6842346191406,280.67955899238586
_,59,null,341.244140625,281.0222125053406
1,59,null,341.244140625,281.0222578048706
_,60,null,340.4237976074219,281.3641278743744
1,60,null,340.4237976074219,281.3641731739044
_,61,null,341.587890625,281.70753479003906
1,61,null,341.587890625,281.7075870037079
_,62,null,340.7298583984375,282.0498502254486
1,62,null,340.7298583984375,282.04989886283875
_,63,null,340.3940124511719,282.3916766643524
1,63,null,340.3940124511719,282.391720533371
_,64,null,341.907470703125,282.73542881011963
1,64,null,341.907470703125,282.73545694351196
_,65,null,341.865478515625,283.07910561561584
1,65,null,341.865478515625,283.0791594982147
_,66,null,340.4090270996094,283.4214150905609
1,66,null,340.4090270996094,283.4214642047882
_,67,null,340.19122314453125,283.7628228664398
1,67,null,340.19122314453125,283.7628755569458
_,68,null,342.6271057128906,284.10695123672485
1,68,null,342.6271057128906,284.1070041656494
_,69,null,340.9015808105469,284.4497163295746
1,69,null,340.9015808105469,284.44976472854614
_,70,null,340.3243408203125,284.79139161109924
1,70,null,340.3243408203125,284.7914369106293
_,71,null,341.090087890625,285.13399028778076
1,71,null,341.090087890625,285.1340389251709
_,72,null,341.93536376953125,285.4774043560028
1,72,null,341.93536376953125,285.47745084762573
_,73,null,341.243896484375,285.8200693130493
1,73,null,341.243896484375,285.82011556625366
_,74,null,340.335693359375,286.1619482040405
1,74,null,340.335693359375,286.16200017929077
_,75,null,341.8379211425781,286.50518012046814
1,75,null,341.8379211425781,286.5052299499512
_,76,null,340.8660583496094,286.84753489494324
1,76,null,340.8660583496094,286.84758853912354
_,77,null,340.0302734375,287.189138174057
1,77,null,340.0302734375,287.1891882419586
_,78,null,342.63348388671875,287.5333790779114
1,78,null,342.63348388671875,287.5334243774414
_,79,null,341.7333984375,287.87635111808777
1,79,null,341.7333984375,287.8764054775238
_,80,null,340.30694580078125,288.218168258667
1,80,null,340.30694580078125,288.2182192802429
_,81,null,341.5473327636719,288.5609383583069
1,81,null,341.5473327636719,288.5609652996063
_,82,null,341.8825988769531,288.9042053222656
1,82,null,341.8825988769531,288.9042308330536
_,83,null,340.83428955078125,289.2464220523834
1,83,null,340.83428955078125,289.24644899368286
_,84,null,340.2977294921875,289.5879108905792
1,84,null,340.2977294921875,289.5879373550415
_,85,null,342.4798583984375,289.931960105896
1,85,null,342.4798583984375,289.93198704719543
_,86,null,342.2615051269531,290.27565479278564
1,86,null,342.2615051269531,290.2756814956665
_,87,null,340.3427734375,290.6173987388611
1,87,null,340.3427734375,290.61742401123047
_,88,null,340.9858703613281,290.9597957134247
1,88,null,340.9858703613281,290.95982217788696
_,89,null,341.84295654296875,291.3030722141266
1,89,null,341.84295654296875,291.30311131477356
_,90,null,340.9674377441406,291.64553594589233
1,90,null,340.9674377441406,291.64556193351746
_,91,null,340.1082763671875,291.98693108558655
1,91,null,340.1082763671875,291.98695826530457
_,92,null,343.5275573730469,292.3322494029999
1,92,null,343.5275573730469,292.3322756290436
_,93,null,340.553466796875,292.67419934272766
1,93,null,340.553466796875,292.67422580718994
_,94,null,340.7001647949219,293.01642870903015
1,94,null,340.7001647949219,293.016455411911
_,95,null,342.43585205078125,293.36030173301697
1,95,null,342.43585205078125,293.3603286743164
_,96,null,340.9612731933594,293.7027585506439
1,96,null,340.9612731933594,293.7027852535248
_,97,null,340.7607421875,294.04518008232117
1,97,null,340.7607421875,294.04520750045776
_,98,null,341.04193115234375,294.3876326084137
1,98,null,341.04193115234375,294.3876597881317
_,99,null,341.170166015625,294.73024582862854
1,99,null,341.170166015625,294.73027205467224
_,100,null,340.284423828125,295.0717759132385
1,100,null,340.284423828125,295.0718023777008
_,101,null,341.9125671386719,295.4149534702301
1,101,null,341.9125671386719,295.4149796962738
_,102,null,340.9336242675781,295.75772976875305
1,102,null,340.9336242675781,295.75775718688965
_,103,null,340.3038635253906,296.09935116767883
1,103,null,340.3038635253906,296.09937953948975
_,104,null,342.1458740234375,296.4432284832001
1,104,null,342.1458740234375,296.44325590133667
_,105,null,340.379638671875,296.7851297855377
1,105,null,340.379638671875,296.78515625
_,106,null,341.71392822265625,297.1284501552582
1,106,null,341.71392822265625,297.1284773349762
_,107,null,342.3642883300781,297.47221279144287
1,107,null,342.3642883300781,297.47223949432373
_,108,null,341.25823974609375,297.81503033638
1,108,null,341.25823974609375,297.81505823135376
_,109,null,340.347900390625,298.15723180770874
1,109,null,340.347900390625,298.1572594642639
_,110,null,342.1481018066406,298.50070667266846
1,110,null,342.1481018066406,298.5007338523865
_,111,null,340.8207702636719,298.8430349826813
1,111,null,340.8207702636719,298.8430631160736
_,112,null,340.3552551269531,299.185115814209
1,112,null,340.3552551269531,299.1851415634155
_,113,null,341.48956298828125,299.5278482437134
1,113,null,341.48956298828125,299.5278742313385
_,114,null,340.6243896484375,299.87011671066284
1,114,null,340.6243896484375,299.8701434135437
_,115,null,340.2359619140625,300.2114517688751
1,115,null,340.2359619140625,300.211478471756
_,116,null,341.1466369628906,300.55429673194885
1,116,null,341.1466369628906,300.55432295799255
_,117,null,341.3536682128906,300.896849155426
1,117,null,341.3536682128906,300.8968753814697
_,118,null,340.88531494140625,301.2392826080322
1,118,null,340.88531494140625,301.239310503006
_,119,null,340.8218994140625,301.58145928382874
1,119,null,340.8218994140625,301.58148670196533
_,120,null,341.1230773925781,301.9238567352295
1,120,null,341.1230773925781,301.92388463020325
_,121,null,341.796875,302.2669425010681
1,121,null,341.796875,302.26696848869324
_,122,null,340.558837890625,302.6093735694885
1,122,null,340.558837890625,302.6094000339508
_,123,null,341.8490905761719,302.95248913764954
1,123,null,341.8490905761719,302.95252323150635
_,124,null,340.8085632324219,303.2949788570404
1,124,null,340.8085632324219,303.29500579833984
_,125,null,341.1230773925781,303.6379795074463
1,125,null,341.1230773925781,303.63800621032715
_,126,null,340.8701477050781,303.98021697998047
1,126,null,340.8701477050781,303.98024463653564
_,127,null,341.9463806152344,304.3238797187805
1,127,null,341.9463806152344,304.3239071369171
_,128,null,341.36871337890625,304.66685342788696
1,128,null,341.36871337890625,304.6668794155121
_,129,null,341.3063659667969,305.0097990036011
1,129,null,341.3063659667969,305.0098252296448
_,130,null,340.50347900390625,305.3515512943268
1,130,null,340.50347900390625,305.3515782356262
_,131,null,341.04217529296875,305.6940245628357
1,131,null,341.04217529296875,305.6940519809723
_,132,null,342.1798400878906,306.0373578071594
1,132,null,342.1798400878906,306.03738284111023
_,133,null,340.84967041015625,306.37943744659424
1,133,null,340.84967041015625,306.37946343421936
_,134,null,340.84759521484375,306.7216684818268
1,134,null,340.84759521484375,306.7216947078705
